Village_Name,State_Name,District_Name,Block_Name,Pincode,Input_Parameter1,Input_Parameter2,Input_Parameter3,Input_Parameter4,Input_Parameter0
Amber Nagar,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207.0,"AMBER NAGAR,Uttar Pradesh","AMBER NAGAR,BALRAMPUR,Uttar Pradesh","AMBER NAGAR,HARAIYA SATGHARWA,Uttar Pradesh","AMBER NAGAR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","AMBER NAGAR,Uttar Pradesh,271207.0"
Amrai,Jharkhand,PASHCHIMI SINGHBHUM,GOELKERA,833103.0,"AMRAI,Jharkhand","AMRAI,PASHCHIMI SINGHBHUM,Jharkhand","AMRAI,GOELKERA,Jharkhand","AMRAI,GOELKERA,PASHCHIMI SINGHBHUM,Jharkhand","AMRAI,Jharkhand,833103.0"
Amva Sah Tola,Jharkhand,PALAMU,CHHATARPUR,822113.0,"AMVA SAH TOLA,Jharkhand","AMVA SAH TOLA,PALAMU,Jharkhand","AMVA SAH TOLA,CHHATARPUR,Jharkhand","AMVA SAH TOLA,CHHATARPUR,PALAMU,Jharkhand","AMVA SAH TOLA,Jharkhand,822113.0"
Amwa,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,845105.0,"AMWA,Uttar Pradesh","AMWA,BALRAMPUR,Uttar Pradesh","AMWA,HARAIYA SATGHARWA,Uttar Pradesh","AMWA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","AMWA,Uttar Pradesh,845105.0"
Andhari,Jharkhand,PASHCHIMI SINGHBHUM,KUMARDUNGI,833214.0,"ANDHARI,Jharkhand","ANDHARI,PASHCHIMI SINGHBHUM,Jharkhand","ANDHARI,KUMARDUNGI,Jharkhand","ANDHARI,KUMARDUNGI,PASHCHIMI SINGHBHUM,Jharkhand","ANDHARI,Jharkhand,833214.0"
Angardiha,Jharkhand,PASHCHIMI SINGHBHUM,TANTNAGAR,833214.0,"ANGARDIHA,Jharkhand","ANGARDIHA,PASHCHIMI SINGHBHUM,Jharkhand","ANGARDIHA,TANTNAGAR,Jharkhand","ANGARDIHA,TANTNAGAR,PASHCHIMI SINGHBHUM,Jharkhand","ANGARDIHA,Jharkhand,833214.0"
Anjed Bera,Jharkhand,PASHCHIMI SINGHBHUM,KHUNTPANI,833201.0,"ANJED BERA,Jharkhand","ANJED BERA,PASHCHIMI SINGHBHUM,Jharkhand","ANJED BERA,KHUNTPANI,Jharkhand","ANJED BERA,KHUNTPANI,PASHCHIMI SINGHBHUM,Jharkhand","ANJED BERA,Jharkhand,833201.0"
Arar,Jharkhand,PALAMU,CHHATARPUR,822113.0,"ARAR,Jharkhand","ARAR,PALAMU,Jharkhand","ARAR,CHHATARPUR,Jharkhand","ARAR,CHHATARPUR,PALAMU,Jharkhand","ARAR,Jharkhand,822113.0"
Araria,Bihar,SITAMARHI,SONBARSA,843330.0,"ARARIA,Bihar","ARARIA,SITAMARHI,Bihar","ARARIA,SONBARSA,Bihar","ARARIA,SONBARSA,SITAMARHI,Bihar","ARARIA,Bihar,843330.0"
Arjunbilla,Odisha,MAYURBHANJ,SUKRULI,757039.0,"ARJUNBILLA,Odisha","ARJUNBILLA,MAYURBHANJ,Odisha","ARJUNBILLA,SUKRULI,Odisha","ARJUNBILLA,SUKRULI,MAYURBHANJ,Odisha","ARJUNBILLA,Odisha,757039.0"
Babandiha,Jharkhand,DEOGHAR,SARATH,814149.0,"BABANDIHA,Jharkhand","BABANDIHA,DEOGHAR,Jharkhand","BABANDIHA,SARATH,Jharkhand","BABANDIHA,SARATH,DEOGHAR,Jharkhand","BABANDIHA,Jharkhand,814149.0"
Babhandi,Jharkhand,PALAMU,CHHATARPUR,822110.0,"BABHANDI,Jharkhand","BABHANDI,PALAMU,Jharkhand","BABHANDI,CHHATARPUR,Jharkhand","BABHANDI,CHHATARPUR,PALAMU,Jharkhand","BABHANDI,Jharkhand,822110.0"
Babhanpurwa,Uttar Pradesh,BALRAMPUR,REHRA BAZAR,271307.0,"BABHANPURWA,Uttar Pradesh","BABHANPURWA,BALRAMPUR,Uttar Pradesh","BABHANPURWA,REHRA BAZAR,Uttar Pradesh","BABHANPURWA,REHRA BAZAR,BALRAMPUR,Uttar Pradesh","BABHANPURWA,Uttar Pradesh,271307.0"
Babhni Buzurg,Uttar Pradesh,BALRAMPUR,UTRAULA,271604.0,"BABHNI BUZURG,Uttar Pradesh","BABHNI BUZURG,BALRAMPUR,Uttar Pradesh","BABHNI BUZURG,UTRAULA,Uttar Pradesh","BABHNI BUZURG,UTRAULA,BALRAMPUR,Uttar Pradesh","BABHNI BUZURG,Uttar Pradesh,271604.0"
Babudumbi,Jharkhand,PALAMU,LESLIGANJ,822118.0,"BABUDUMBI,Jharkhand","BABUDUMBI,PALAMU,Jharkhand","BABUDUMBI,LESLIGANJ,Jharkhand","BABUDUMBI,LESLIGANJ,PALAMU,Jharkhand","BABUDUMBI,Jharkhand,822118.0"
Baburban,Bihar,SITAMARHI,PARIHAR,843314.0,"BABURBAN,Bihar","BABURBAN,SITAMARHI,Bihar","BABURBAN,PARIHAR,Bihar","BABURBAN,PARIHAR,SITAMARHI,Bihar","BABURBAN,Bihar,843314.0"
Baburban,Bihar,SITAMARHI,BAJPATTI,843314.0,"BABURBAN,Bihar","BABURBAN,SITAMARHI,Bihar","BABURBAN,BAJPATTI,Bihar","BABURBAN,BAJPATTI,SITAMARHI,Bihar","BABURBAN,Bihar,843314.0"
Bad Turamura,Odisha,SUNDERGARH,GURUNDIA,770038.0,"BAD TURAMURA,Odisha","BAD TURAMURA,SUNDERGARH,Odisha","BAD TURAMURA,GURUNDIA,Odisha","BAD TURAMURA,GURUNDIA,SUNDERGARH,Odisha","BAD TURAMURA,Odisha,770038.0"
Badahara,Uttar Pradesh,BALRAMPUR,PACHPERWA,271604.0,"BADAHARA,Uttar Pradesh","BADAHARA,BALRAMPUR,Uttar Pradesh","BADAHARA,PACHPERWA,Uttar Pradesh","BADAHARA,PACHPERWA,BALRAMPUR,Uttar Pradesh","BADAHARA,Uttar Pradesh,271604.0"
Badajiuna,Odisha,KORAPUT,JEYPORE,764002.0,"BADAJIUNA,Odisha","BADAJIUNA,KORAPUT,Odisha","BADAJIUNA,JEYPORE,Odisha","BADAJIUNA,JEYPORE,KORAPUT,Odisha","BADAJIUNA,Odisha,764002.0"
Badbahal,Odisha,BOLANGIR,DEOGAON,767067.0,"BADBAHAL,Odisha","BADBAHAL,BOLANGIR,Odisha","BADBAHAL,DEOGAON,Odisha","BADBAHAL,DEOGAON,BOLANGIR,Odisha","BADBAHAL,Odisha,767067.0"
Baddhenkia,Odisha,MAYURBHANJ,SULIAPADA,757084.0,"BADDHENKIA,Odisha","BADDHENKIA,MAYURBHANJ,Odisha","BADDHENKIA,SULIAPADA,Odisha","BADDHENKIA,SULIAPADA,MAYURBHANJ,Odisha","BADDHENKIA,Odisha,757084.0"
Badghumer,Odisha,KALAHANDI,DHARAMGARH,766015.0,"BADGHUMER,Odisha","BADGHUMER,KALAHANDI,Odisha","BADGHUMER,DHARAMGARH,Odisha","BADGHUMER,DHARAMGARH,KALAHANDI,Odisha","BADGHUMER,Odisha,766015.0"
Badigada,Odisha,KORAPUT,LAMTAPUT,764040.0,"BADIGADA,Odisha","BADIGADA,KORAPUT,Odisha","BADIGADA,LAMTAPUT,Odisha","BADIGADA,LAMTAPUT,KORAPUT,Odisha","BADIGADA,Odisha,764040.0"
Badjharan,Odisha,MAYURBHANJ,BIJATOLA,757048.0,"BADJHARAN,Odisha","BADJHARAN,MAYURBHANJ,Odisha","BADJHARAN,BIJATOLA,Odisha","BADJHARAN,BIJATOLA,MAYURBHANJ,Odisha","BADJHARAN,Odisha,757048.0"
Bagaiya,Jharkhand,PALAMU,CHHATARPUR,822113.0,"BAGAIYA,Jharkhand","BAGAIYA,PALAMU,Jharkhand","BAGAIYA,CHHATARPUR,Jharkhand","BAGAIYA,CHHATARPUR,PALAMU,Jharkhand","BAGAIYA,Jharkhand,822113.0"
Bagha,Bihar,SITAMARHI,SONBARSA,843332.0,"BAGHA,Bihar","BAGHA,SITAMARHI,Bihar","BAGHA,SONBARSA,Bihar","BAGHA,SONBARSA,SITAMARHI,Bihar","BAGHA,Bihar,843332.0"
Baghari,Bihar,SITAMARHI,RUNNI SAIDPUR,843323.0,"BAGHARI,Bihar","BAGHARI,SITAMARHI,Bihar","BAGHARI,RUNNI SAIDPUR,Bihar","BAGHARI,RUNNI SAIDPUR,SITAMARHI,Bihar","BAGHARI,Bihar,843323.0"
Baghmara,Jharkhand,PALAMU,CHHATARPUR,814146.0,"BAGHMARA,Jharkhand","BAGHMARA,PALAMU,Jharkhand","BAGHMARA,CHHATARPUR,Jharkhand","BAGHMARA,CHHATARPUR,PALAMU,Jharkhand","BAGHMARA,Jharkhand,814146.0"
Bahadur Pur,Uttar Pradesh,BALRAMPUR,BALRAMPUR,271201.0,"BAHADUR PUR,Uttar Pradesh","BAHADUR PUR,BALRAMPUR,Uttar Pradesh","BAHADUR PUR,BALRAMPUR,Uttar Pradesh","BAHADUR PUR,BALRAMPUR,BALRAMPUR,Uttar Pradesh","BAHADUR PUR,Uttar Pradesh,271201.0"
Bahadurganj,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271861.0,"BAHADURGANJ,Uttar Pradesh","BAHADURGANJ,BALRAMPUR,Uttar Pradesh","BAHADURGANJ,HARAIYA SATGHARWA,Uttar Pradesh","BAHADURGANJ,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","BAHADURGANJ,Uttar Pradesh,271861.0"
Bahalpadar,Odisha,BOLANGIR,PUINTALA,767002.0,"BAHALPADAR,Odisha","BAHALPADAR,BOLANGIR,Odisha","BAHALPADAR,PUINTALA,Odisha","BAHALPADAR,PUINTALA,BOLANGIR,Odisha","BAHALPADAR,Odisha,767002.0"
Bahera,Jharkhand,PALAMU,HAIDARNAGAR,843332.0,"BAHERA,Jharkhand","BAHERA,PALAMU,Jharkhand","BAHERA,HAIDARNAGAR,Jharkhand","BAHERA,HAIDARNAGAR,PALAMU,Jharkhand","BAHERA,Jharkhand,843332.0"
Baithania,Bihar,PASHCHIM CHAMPARAN,MAJHAULIA,845454.0,"BAITHANIA,Bihar","BAITHANIA,PASHCHIM CHAMPARAN,Bihar","BAITHANIA,MAJHAULIA,Bihar","BAITHANIA,MAJHAULIA,PASHCHIM CHAMPARAN,Bihar","BAITHANIA,Bihar,845454.0"
Bakhri Usufpur,Bihar,SITAMARHI,BAJPATTI,843314.0,"BAKHRI USUFPUR,Bihar","BAKHRI USUFPUR,SITAMARHI,Bihar","BAKHRI USUFPUR,BAJPATTI,Bihar","BAKHRI USUFPUR,BAJPATTI,SITAMARHI,Bihar","BAKHRI USUFPUR,Bihar,843314.0"
Bakoiya,Jharkhand,PALAMU,DALTONGANJ,822126.0,"BAKOIYA,Jharkhand","BAKOIYA,PALAMU,Jharkhand","BAKOIYA,DALTONGANJ,Jharkhand","BAKOIYA,DALTONGANJ,PALAMU,Jharkhand","BAKOIYA,Jharkhand,822126.0"
Bakuchia Rudalpur,Bihar,PASHCHIM CHAMPARAN,JOGAPATTI,845452.0,"BAKUCHIA RUDALPUR,Bihar","BAKUCHIA RUDALPUR,PASHCHIM CHAMPARAN,Bihar","BAKUCHIA RUDALPUR,JOGAPATTI,Bihar","BAKUCHIA RUDALPUR,JOGAPATTI,PASHCHIM CHAMPARAN,Bihar","BAKUCHIA RUDALPUR,Bihar,845452.0"
Bakuli,Bihar,PASHCHIM CHAMPARAN,BAGAHA-II (SIDHAW),845105.0,"BAKULI,Bihar","BAKULI,PASHCHIM CHAMPARAN,Bihar","BAKULI,BAGAHA-II (SIDHAW),Bihar","BAKULI,BAGAHA-II (SIDHAW),PASHCHIM CHAMPARAN,Bihar","BAKULI,Bihar,845105.0"
Balanda,Odisha,SUNDERGARH,LATHIKATA,770031.0,"BALANDA,Odisha","BALANDA,SUNDERGARH,Odisha","BALANDA,LATHIKATA,Odisha","BALANDA,LATHIKATA,SUNDERGARH,Odisha","BALANDA,Odisha,770031.0"
Balha,Bihar,SITAMARHI,PUPRI,843325.0,"BALHA,Bihar","BALHA,SITAMARHI,Bihar","BALHA,PUPRI,Bihar","BALHA,PUPRI,SITAMARHI,Bihar","BALHA,Bihar,843325.0"
Balha Manorath,Bihar,SITAMARHI,BAJPATTI,843320.0,"BALHA MANORATH,Bihar","BALHA MANORATH,SITAMARHI,Bihar","BALHA MANORATH,BAJPATTI,Bihar","BALHA MANORATH,BAJPATTI,SITAMARHI,Bihar","BALHA MANORATH,Bihar,843320.0"
Balmua,Jharkhand,PALAMU,PANKI,822122.0,"BALMUA,Jharkhand","BALMUA,PALAMU,Jharkhand","BALMUA,PANKI,Jharkhand","BALMUA,PANKI,PALAMU,Jharkhand","BALMUA,Jharkhand,822122.0"
Balua Dew Ray,Bihar,PASHCHIM CHAMPARAN,JOGAPATTI,845452.0,"BALUA DEW RAY,Bihar","BALUA DEW RAY,PASHCHIM CHAMPARAN,Bihar","BALUA DEW RAY,JOGAPATTI,Bihar","BALUA DEW RAY,JOGAPATTI,PASHCHIM CHAMPARAN,Bihar","BALUA DEW RAY,Bihar,845452.0"
Banalat,Jharkhand,PALAMU,RAMGARH,822111.0,"BANALAT,Jharkhand","BANALAT,PALAMU,Jharkhand","BANALAT,RAMGARH,Jharkhand","BANALAT,RAMGARH,PALAMU,Jharkhand","BANALAT,Jharkhand,822111.0"
Bandarjhula,Bihar,SITAMARHI,SONBARSA,843317.0,"BANDARJHULA,Bihar","BANDARJHULA,SITAMARHI,Bihar","BANDARJHULA,SONBARSA,Bihar","BANDARJHULA,SONBARSA,SITAMARHI,Bihar","BANDARJHULA,Bihar,843317.0"
Bandhakana,Odisha,KALAHANDI,KALAMPUR,766013.0,"BANDHAKANA,Odisha","BANDHAKANA,KALAHANDI,Odisha","BANDHAKANA,KALAMPUR,Odisha","BANDHAKANA,KALAMPUR,KALAHANDI,Odisha","BANDHAKANA,Odisha,766013.0"
Banijara,Odisha,KALAHANDI,JUNAGARH,766014.0,"BANIJARA,Odisha","BANIJARA,KALAHANDI,Odisha","BANIJARA,JUNAGARH,Odisha","BANIJARA,JUNAGARH,KALAHANDI,Odisha","BANIJARA,Odisha,766014.0"
Banjipadar,Odisha,BOLANGIR,TITILAGARH,767033.0,"BANJIPADAR,Odisha","BANJIPADAR,BOLANGIR,Odisha","BANJIPADAR,TITILAGARH,Odisha","BANJIPADAR,TITILAGARH,BOLANGIR,Odisha","BANJIPADAR,Odisha,767033.0"
Bankatwa Bazar,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271208.0,"BANKATWA BAZAR,Uttar Pradesh","BANKATWA BAZAR,BALRAMPUR,Uttar Pradesh","BANKATWA BAZAR,HARAIYA SATGHARWA,Uttar Pradesh","BANKATWA BAZAR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","BANKATWA BAZAR,Uttar Pradesh,271208.0"
Banki Khurd,Jharkhand,PALAMU,PANKI,822122.0,"BANKI KHURD,Jharkhand","BANKI KHURD,PALAMU,Jharkhand","BANKI KHURD,PANKI,Jharkhand","BANKI KHURD,PANKI,PALAMU,Jharkhand","BANKI KHURD,Jharkhand,822122.0"
Bankitapi,Jharkhand,PASHCHIMI SINGHBHUM,CHAKRADHARPUR,833102.0,"BANKITAPI,Jharkhand","BANKITAPI,PASHCHIMI SINGHBHUM,Jharkhand","BANKITAPI,CHAKRADHARPUR,Jharkhand","BANKITAPI,CHAKRADHARPUR,PASHCHIMI SINGHBHUM,Jharkhand","BANKITAPI,Jharkhand,833102.0"
Bansi Khurd,Jharkhand,PALAMU,MANATU,822123.0,"BANSI KHURD,Jharkhand","BANSI KHURD,PALAMU,Jharkhand","BANSI KHURD,MANATU,Jharkhand","BANSI KHURD,MANATU,PALAMU,Jharkhand","BANSI KHURD,Jharkhand,822123.0"
Bara,Jharkhand,DEOGHAR,SARATH,843324.0,"BARA,Jharkhand","BARA,DEOGHAR,Jharkhand","BARA,SARATH,Jharkhand","BARA,SARATH,DEOGHAR,Jharkhand","BARA,Jharkhand,843324.0"
Baradhowana,Jharkhand,DEOGHAR,DEOGHAR,814142.0,"BARADHOWANA,Jharkhand","BARADHOWANA,DEOGHAR,Jharkhand","BARADHOWANA,DEOGHAR,Jharkhand","BARADHOWANA,DEOGHAR,DEOGHAR,Jharkhand","BARADHOWANA,Jharkhand,814142.0"
Barakesal,Jharkhand,PASHCHIMI SINGHBHUM,GUDRI,835227.0,"BARAKESAL,Jharkhand","BARAKESAL,PASHCHIMI SINGHBHUM,Jharkhand","BARAKESAL,GUDRI,Jharkhand","BARAKESAL,GUDRI,PASHCHIMI SINGHBHUM,Jharkhand","BARAKESAL,Jharkhand,835227.0"
Barapaseya,Jharkhand,PASHCHIMI SINGHBHUM,NOAMUNDI,833218.0,"BARAPASEYA,Jharkhand","BARAPASEYA,PASHCHIMI SINGHBHUM,Jharkhand","BARAPASEYA,NOAMUNDI,Jharkhand","BARAPASEYA,NOAMUNDI,PASHCHIMI SINGHBHUM,Jharkhand","BARAPASEYA,Jharkhand,833218.0"
Barapudgia,Odisha,BOLANGIR,BALANGIR,767024.0,"BARAPUDGIA,Odisha","BARAPUDGIA,BOLANGIR,Odisha","BARAPUDGIA,BALANGIR,Odisha","BARAPUDGIA,BALANGIR,BOLANGIR,Odisha","BARAPUDGIA,Odisha,767024.0"
Barayal,Uttar Pradesh,BALRAMPUR,UTRAULA,271604.0,"BARAYAL,Uttar Pradesh","BARAYAL,BALRAMPUR,Uttar Pradesh","BARAYAL,UTRAULA,Uttar Pradesh","BARAYAL,UTRAULA,BALRAMPUR,Uttar Pradesh","BARAYAL,Uttar Pradesh,271604.0"
Bardaag,Jharkhand,PALAMU,PIPRA,822113.0,"BARDAAG,Jharkhand","BARDAAG,PALAMU,Jharkhand","BARDAAG,PIPRA,Jharkhand","BARDAAG,PIPRA,PALAMU,Jharkhand","BARDAAG,Jharkhand,822113.0"
Bardahwa,Uttar Pradesh,BALRAMPUR,TULSIPUR,271205.0,"BARDAHWA,Uttar Pradesh","BARDAHWA,BALRAMPUR,Uttar Pradesh","BARDAHWA,TULSIPUR,Uttar Pradesh","BARDAHWA,TULSIPUR,BALRAMPUR,Uttar Pradesh","BARDAHWA,Uttar Pradesh,271205.0"
Bargadahi,Uttar Pradesh,BALRAMPUR,TULSIPUR,271604.0,"BARGADAHI,Uttar Pradesh","BARGADAHI,BALRAMPUR,Uttar Pradesh","BARGADAHI,TULSIPUR,Uttar Pradesh","BARGADAHI,TULSIPUR,BALRAMPUR,Uttar Pradesh","BARGADAHI,Uttar Pradesh,271604.0"
Barheta,Bihar,SITAMARHI,RUNNI SAIDPUR,843117.0,"BARHETA,Bihar","BARHETA,SITAMARHI,Bihar","BARHETA,RUNNI SAIDPUR,Bihar","BARHETA,RUNNI SAIDPUR,SITAMARHI,Bihar","BARHETA,Bihar,843117.0"
Barusai,Jharkhand,PASHCHIMI SINGHBHUM,KUMARDUNGI,833214.0,"BARUSAI,Jharkhand","BARUSAI,PASHCHIMI SINGHBHUM,Jharkhand","BARUSAI,KUMARDUNGI,Jharkhand","BARUSAI,KUMARDUNGI,PASHCHIMI SINGHBHUM,Jharkhand","BARUSAI,Jharkhand,833214.0"
Barwa,Bihar,PASHCHIM CHAMPARAN,MAINATAND,845105.0,"BARWA,Bihar","BARWA,PASHCHIM CHAMPARAN,Bihar","BARWA,MAINATAND,Bihar","BARWA,MAINATAND,PASHCHIM CHAMPARAN,Bihar","BARWA,Bihar,845105.0"
Barwa,Bihar,PASHCHIM CHAMPARAN,BAGAHA-I,845105.0,"BARWA,Bihar","BARWA,PASHCHIM CHAMPARAN,Bihar","BARWA,BAGAHA-I,Bihar","BARWA,BAGAHA-I,PASHCHIM CHAMPARAN,Bihar","BARWA,Bihar,845105.0"
Barwadih,Jharkhand,PALAMU,HAIDARNAGAR,822115.0,"BARWADIH,Jharkhand","BARWADIH,PALAMU,Jharkhand","BARWADIH,HAIDARNAGAR,Jharkhand","BARWADIH,HAIDARNAGAR,PALAMU,Jharkhand","BARWADIH,Jharkhand,822115.0"
Basant Pur,Uttar Pradesh,BALRAMPUR,TULSIPUR,271207.0,"BASANT PUR,Uttar Pradesh","BASANT PUR,BALRAMPUR,Uttar Pradesh","BASANT PUR,TULSIPUR,Uttar Pradesh","BASANT PUR,TULSIPUR,BALRAMPUR,Uttar Pradesh","BASANT PUR,Uttar Pradesh,271207.0"
Basantpur,Uttar Pradesh,BALRAMPUR,PACHPERWA,845453.0,"BASANTPUR,Uttar Pradesh","BASANTPUR,BALRAMPUR,Uttar Pradesh","BASANTPUR,PACHPERWA,Uttar Pradesh","BASANTPUR,PACHPERWA,BALRAMPUR,Uttar Pradesh","BASANTPUR,Uttar Pradesh,845453.0"
Basantpur,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,845453.0,"BASANTPUR,Uttar Pradesh","BASANTPUR,BALRAMPUR,Uttar Pradesh","BASANTPUR,HARAIYA SATGHARWA,Uttar Pradesh","BASANTPUR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","BASANTPUR,Uttar Pradesh,845453.0"
Basariya,Jharkhand,PALAMU,PANKI,822122.0,"BASARIYA,Jharkhand","BASARIYA,PALAMU,Jharkhand","BASARIYA,PANKI,Jharkhand","BASARIYA,PANKI,PALAMU,Jharkhand","BASARIYA,Jharkhand,822122.0"
Basawan Bankat,Uttar Pradesh,BALRAMPUR,REHRA BAZAR,271306.0,"BASAWAN BANKAT,Uttar Pradesh","BASAWAN BANKAT,BALRAMPUR,Uttar Pradesh","BASAWAN BANKAT,REHRA BAZAR,Uttar Pradesh","BASAWAN BANKAT,REHRA BAZAR,BALRAMPUR,Uttar Pradesh","BASAWAN BANKAT,Uttar Pradesh,271306.0"
Basdiha,Jharkhand,PALAMU,PANDU,822113.0,"BASDIHA,Jharkhand","BASDIHA,PALAMU,Jharkhand","BASDIHA,PANDU,Jharkhand","BASDIHA,PANDU,PALAMU,Jharkhand","BASDIHA,Jharkhand,822113.0"
Basna,Jharkhand,PALAMU,NAWA BAZAR,822124.0,"BASNA,Jharkhand","BASNA,PALAMU,Jharkhand","BASNA,NAWA BAZAR,Jharkhand","BASNA,NAWA BAZAR,PALAMU,Jharkhand","BASNA,Jharkhand,822124.0"
Basotra,Bihar,SITAMARHI,CHORAUT,843319.0,"BASOTRA,Bihar","BASOTRA,SITAMARHI,Bihar","BASOTRA,CHORAUT,Bihar","BASOTRA,CHORAUT,SITAMARHI,Bihar","BASOTRA,Bihar,843319.0"
Bastampada,Jharkhand,PASHCHIMI SINGHBHUM,BANDGAON,833102.0,"BASTAMPADA,Jharkhand","BASTAMPADA,PASHCHIMI SINGHBHUM,Jharkhand","BASTAMPADA,BANDGAON,Jharkhand","BASTAMPADA,BANDGAON,PASHCHIMI SINGHBHUM,Jharkhand","BASTAMPADA,Jharkhand,833102.0"
Batesara,Bihar,PASHCHIM CHAMPARAN,BAGAHA-II (SIDHAW),845105.0,"BATESARA,Bihar","BATESARA,PASHCHIM CHAMPARAN,Bihar","BATESARA,BAGAHA-II (SIDHAW),Bihar","BATESARA,BAGAHA-II (SIDHAW),PASHCHIM CHAMPARAN,Bihar","BATESARA,Bihar,845105.0"
Bathna,Bihar,PASHCHIM CHAMPARAN,BAIRIA,845438.0,"BATHNA,Bihar","BATHNA,PASHCHIM CHAMPARAN,Bihar","BATHNA,BAIRIA,Bihar","BATHNA,BAIRIA,PASHCHIM CHAMPARAN,Bihar","BATHNA,Bihar,845438.0"
Bathuara,Bihar,SITAMARHI,PARIHAR,843324.0,"BATHUARA,Bihar","BATHUARA,SITAMARHI,Bihar","BATHUARA,PARIHAR,Bihar","BATHUARA,PARIHAR,SITAMARHI,Bihar","BATHUARA,Bihar,843324.0"
