Village_Name,Block_Name,District_Name,State_Name,Pincode
SINDHIGAM,UMERKOTE,NABARANGPUR,ODISHA,764043
SODHIYA,KAUNDHIYARA,ALLAHABAD,UTTAR PRADESH,#N/A
SODORANGA(SADARANGA),KOTPAD,KORAPUT,ODISHA,764058
SONDEHI,SURSAND,SITAMARHI,BIHAR,843331
SORAGUDA,PAPADAHANDI,NABARANGPUR,ODISHA,#N/A
SUBNSA,GAURA,PRATAPGARH,UTTAR PRADESH,#N/A
SUHAAS,MEJA,ALLAHABAD,UTTAR PRADESH,#N/A
SUJULI,DASMANTPUR,KORAPUT,ODISHA,#N/A
SUSGAWAN,RUPAIDEEH,GONDA,UTTAR PRADESH,#N/A
TABAJAGUDA,DASMANTPUR,KORAPUT,ODISHA,#N/A
TALACHAMPI,LAXMIPUR,KORAPUT,ODISHA,#N/A
TANKEL,NANDAPUR,KORAPUT,ODISHA,#N/A
TANSING,NANDAPUR,KORAPUT,ODISHA,764038
TENDUA RANIPUR,CHAPIA,GONDA,UTTAR PRADESH,#N/A
TENKAR,BORIGUMMA,KORAPUT,ODISHA,764056
TENTALA,UDALA,MAYURBHANJ,ODISHA,757046
TENUDIH,CHHATARPUR,PALAMU,JHARKHAND,822113
THARAKKI PATI,BELSAR,GONDA,UTTAR PRADESH,#N/A
TIADIPUT,KORAPUT,KORAPUT,ODISHA,#N/A
TILORI VIKRM PUR,KUNDA,PRATAPGARH,UTTAR PRADESH,#N/A
TUMUDA,RAIGHAR,NABARANGPUR,ODISHA,#N/A
VEERPUR BHOJ,RUPAIDEEH,GONDA,UTTAR PRADESH,#N/A
WARD NO. 2,SUGAULI,PURBA CHAMPARAN,BIHAR,#N/A
WARD NO.1,JEYPORE,KORAPUT,ODISHA,766015
YUBRAJPETA,SEMILIGUDA,KORAPUT,ODISHA,#N/A
