words,js_file
ABHIJEET FERROTECH LTD,mca
ABHIJEET GROUP,power
ABHIJEET HAZARIBAGH TOLL ROAD LTD,mca
ABHIJEET INTEGRATED STEEL LTD,mca
ABHIJEET MADC NAGPUR ENERGY PVT LTD,mca
ABHIJEET MEERUT KARNAL TOLL ROAD LTD,mca
ABHIJEET MINING LTD,mca
ABHIJEET POWER LTD,mca
ABHIJEET ROADS LTD,mca
ABHIJEET TOLL ROAD KARNATAKA LTD,mca
ABHINANDAN URBAN CO OP BANK AMRAVATI,payments_nach
ABHINANDAN URBAN COOP BANK AMRAVATI,bank
ABHINAV SAHAKARI BANK DOMBIVALI,bank
ABHINAV STEELS AND POWER LTD,mca
ABHIPRA CAPITAL,broking
ABHIRUCHI FUN AND FOOD VILLAGE PVT LTD,mca
ABHISAR BUILDWELL PVT LTD,mca
ABHISHEK CORP LTD,mca
ABHISHEK ENGINEERING WORKS,vahan
ABHYUDAYA CO OP BANK,payments_nach
ABHYUDAYA COOP BANK,bank_test_only
ABHYUDAYA COOP BANK,bank
ABHYUDAYA COOPERATIVE BANK,bank_test_only
ABHYUDAYA COOPERATIVE BANK,bank
ABHYUDAYA GREEN ECONOMIC ZONES PVT LTD,power
ABHYUDAYA HOUSING AND CONSTRUCTIONS PVT LTD,mca
ABIR INFRASTRUCTURE PVT LTD,mca
ABIRA SECURITIES,broking
ABIRAMI ENGINEERING WORKS,vahan
ABN AMRO BANK NV,bank_test_only
ABN AMRO BANK NV,bank
ABN AMRO BANK NV,mca
ABP NETWORK PVT LTD,mca
ABP PVT LTD,mca
ABRA MOTORS,vahan
ABT FOODS AGROVET LTD,mca
ABT FOUNDATION LTD,mca
ABU DEVELOPERS P LTD,mca
ABU DHABI COMMERCIAL BANK,bank_test_only
ABU DHABI COMMERCIAL BANK,bank
ABU DHABI COMMERCIAL BANK LTD,mca
ABU DHABI COMMERCIAL BANK PJSC,bank
ABU DHABI COMMERCIAL BANK PJSC,bank_test_only
ABW INFRASTRUCTURE LTD,mca
ABZO MOTORS,vahan
ACACIA LIFE SCIENCES PVT LTD,mca
ACB (INDIA) LTD,power
ACB (India) Ltd,power
ACB INDIA LTD,mca
ACB INDIA POWER LTD,mca
ACC CRANE,vahan
ACC LTD,mca
ACC Ltd,fois
ACCELYA SOLUTIONS INDIA LTD,mca
ACCEM INDUSTRIES PVT LTD,mca
ACCENT HOTELS PVT LTD,mca
ACCENTIA TECHNOLOGIES LTD CN,mca
ACCENTURE,infotech
ACCENTURE SOLUTIONS PVT LTD,mca
ACCESS HEALTHCARE SERVICES PVT LTD,mca
ACCIL AUTO STEELS PVT LTD,mca
ACCIONA WIND ENERGY PVT LTD,mca
ACCLAIM INDUSTRIES LTD,mca
ACCORD FINTECH PVT LTD,mca
ACCORD MULTISPECIALITY CLINICS ANDMEDI INFRA PVT LTD,mca
ACCOUNTANT GENERALS OFFICE EMPLOYEES COOPERATIVE BANK,bank
ACCRETION POWER AUTOS,vahan
ACCURA INFOTECH PVT LTD,mca
ACCURE LABS PVT LTD,mca
ACE CO OP BANK LTD,payments_nach
ACE DESIGNERS LTD,mca
ACE STONE CRAFT LTD,mca
ACE TOURS WORLDWIDE LTD,mca
ACE URBAN HITECH CITY LTD,mca
ACE URBAN INFOCITY LTD,mca
ACEMONEY INTERMEDIARIES,broking
ACG METALCRAFTS PVT LTD,mca
ACHAMPET SOLAR PRIVATE LIMITED,power
ACHIEVERS SECURITIES,broking
ACHIIEVERS EQUITIES,broking
ACHINTYA SECURITIES,broking
ACI WORLDWIDE,internet
ACIL COTTON INDUSTRIES LTD,mca
ACIL LTD,mca
ACKO,internet
ACL INDUSTRIES LTD,mca
ACME,power
ACME CLEANTECH SOLUTIONS PVT LTD,mca
ACME KARIMNAGAR SOLAR POWER PVT LTD,power
ACME RANGA REDDY SOLAR POWER PVT LTD,power
ACME SOLAR HOLDINGS LTD,power
ACML CAPITAL MARKETS,broking
ACORIS RESEARCH LTD,mca
ACP TOLLWAYS PVT LTD,mca
ACQUIRE INFRASTRUCTURE PVT LTD,mca
ACROPETAL TECHNOLOGIES LTD,mca
ACT Fibernet,telecom
ACTAVIS PHARMA DEVELOPMENT CENTRE PVT LTD,mca
ACTIF CORP LTD,mca
ACTION CONSTRUCTION EQUIP,vahan
ACTION CONSTRUCTION EQUIPMENT,vahan
ACTION CONSTRUCTION EQUIPMENT LTD,mca
ACTION FINANCIAL SERVICES (INDIA),broking
ACTION FINANCIAL SERVICES INDIA LTD,mca
ACTION ISPAT AND POWER PVT LTD,mca
ACUITY KNOWLEDGE PARTNERS,internet
ACUMEN CAPITAL MARKET (INDIA),broking
ACURA LEGEND,vahan
AD HYDRO POWER LTD,mca
ADANI AGRI FRESH LTD,mca
ADANI AGRI LOGISTICS LTD,mca
ADANI CMA MUNDRA TERMINAL PVT LTD,mca
ADANI ENTERPRISES LTD,mca
ADANI GREEN ENERGY LTD,power
ADANI GROUP,internet
ADANI INTERNATIONAL CONTAINER TERMINAL PVT LTD,mca
ADANI KANDLA BULK TERMINAL PVT LTD,mca
ADANI KRISHNAPATNAM PORT LTD,mca
ADANI LOGISTICS LTD,mca
ADANI MURMUGAO PORT TERMINAL PVT LTD,mca
ADANI PETRONET DAHEJ PORT PVT LTD,mca
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,mca
ADANI POWER,power
ADANI POWER LTD,power
ADANI POWER LTD,mca
ADANI POWER MAHARASHTRA LTD,mca
ADANI POWER RAJASTHAN LTD,mca
ADANI PROPERTIES PVT LTD,mca
ADANI TRANSMISSION INDIA LTD,mca
ADANI TRANSMISSION LTD,mca
ADANI VIZAG COAL TERMINAL PVT LTD,mca
ADANI WILMAR LTD,mca
ADAPT MOTORS,vahan
ADARNIYA P D PATILSAHEB SAHAKARI BANK KARAD,bank
ADARNIYA P D PATILSAHEB SAHAKARI BANK LTD,payments_nach
ADARSH CO OP BANK LTD,payments_nach
ADARSH COOP URBAN BANK,bank
ADARSH COOP URBAN BANK HYDERABAD,bank
ADARSH COOPERATIVE BANK,bank
ADARSH KNIT WEAR PVT LTD,mca
ADARSH MAHILA MERCANTILE CO OP BANK LTD,payments_nach
ADARSH MAHILA NAGARI SAHAKARI BANK LTD,payments_nach
ADARSH MAHILA NAGARI SAHKARI BANK AURANGABAD,bank
ADARSH REALTY AND HOTELS PVT LTD,mca
ADARSH TRAILER,vahan
ADCOCK INGRAM LTD,mca
ADD LIFE PHARMA LTD,mca
ADD PENS PVT LTD,mca
ADEL LANDMARKS LTD,mca
ADEPT GREEN AGRO INDUSTRIES LTD,mca
ADF FOODS LTD,mca
ADGM,difc_adgm
ADHIKARY TRAILOR,vahan
ADHPL,power
ADHUNIK CEMENT LTD,mca
ADHUNIK CORP LTD,mca
ADHUNIK METALIKS LTD,mca
ADHUNIK POWER & NATURAL RESOURCE LTD,power
ADHUNIK POWER & NATURAL RESOURCES LTD,power
ADHUNIK POWER AND NATURAL RESOURCES LTD,mca
ADHUNIK TRANSPORT ORGANISATION LTD,mca
ADHYA HOTELS AND TOURS PVT LTD,mca
ADI ISPAT PVT LTD,mca
ADICO ESCORTS AGRI EQUIPMENTS,vahan
ADIDEV TECHNOA,vahan
ADIE BROSWON BREWERIES PVT LTD,mca
ADILABAD DIST COOP CENTRAL BANK ADILABAD,bank
ADINATH COOPERATIVE BANK,bank
ADISHAKTI TRACTORS,vahan
ADISHWAR AUTO RIDE INDIA,vahan
ADITRI INDUSTRIES LTD,mca
ADITYA AGRO INDUSTRIES,vahan
ADITYA BIRLA FASHION AND RETAIL LTD,mca
ADITYA BIRLA FINANCE LIMITED,nbfc
ADITYA BIRLA FINANCE LTD,mca
ADITYA BIRLA HEALTH SERVICES LTD,mca
ADITYA BIRLA HOUSING FINANCE LIMITED,nbfc
ADITYA BIRLA IDEA PAYMENTS BANK,bank_2
ADITYA BIRLA IDEA PAYMENTS BANK,bank
ADITYA BIRLA IDEA PAYMENTS BANK,bank_test_only
ADITYA BIRLA MONEY,broking
ADITYA BIRLA MONEY LTD,mca
ADITYA BIRLA NUVO LTD,mca
ADITYA BIRLA SOLAR LIMITED,power
ADITYA BIRLA SUN LIFE AMC LTD,mca
ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,nbfc
ADITYA COKE PVT LTD,mca
ADITYA ENGINEERING,vahan
ADITYA ENTERPRISES,vahan
ADITYA HOUSING AND INFRASTRUCTUREDEVELOPMENT CORP PVT LTD,mca
ADITYA MEDMAXX LIFE CARE PVT LTD,mca
ADITYA SAI INDUSTRIES,vahan
ADITYA STEEL AND AGRO INDUSTRY,vahan
ADITYAPUR TOLL BRIDGE CO LTD,mca
ADLERS BIO ENERGY LTD,mca
ADLUX MEDICITY AND CONVENTION CENTRE PVT LTD,mca
ADM TECHNOLOGIES,vahan
ADMIRON LIFE SCIENCES PVT LTD,mca
ADOBE,internet
ADOBE SYSTEMS INDIA PVT LTD,mca
ADONE HOTELS AND HOSPITALITY LTD,mca
ADOR WELDING LTD,mca
ADP SOLUTIONS,internet
ADRENALIN ESYSTEMS LTD,mca
ADRIS ELECTRIC,vahan
ADROIT FINANCIAL SERVICES,broking
ADROIT URBAN DEVELOPERS PVT LTD,mca
ADS SPIRITS PVT LTD,mca
ADURJEE & BROS. PRIVATE LIMITED,power
ADURJEE AND BROS PVT LTD,mca
ADV SHAMRAOJI SHINDE SATYASHODHAK BANK LTD,payments_nach
ADVAITH MOTORS PVT LTD,mca
ADVANCE CONSTRUCTON TECH,vahan
ADVANCE METERING TECHNOLOGY LIMITED,power
ADVANCE NAVOTPAD SURFACTANTS LTD,mca
ADVANCE SURFACTANTS INDIA LTD,mca
ADVANCED MINING TECHNOLOGIES PVT LTD,mca
ADVANTIUM INFRASTRUCTURE PVT LTD,mca
ADVENT COMPUTER SERVICES LTD,mca
ADVENT STOCK BROKING,broking
ADVENTURE ISLAND LTD,mca
ADVENTURES INDIA FINANCIAL SERVICES,broking
ADVENTZ FINANCE PVT LTD,mca
ADVIK LABORATORIES LTD,mca
ADWEALTH STOCK BROKING,broking
ADYAH,power
ADYAH SOLAR ENERGY PRIVATE LIMITED,power
ADYAH SOLAR ENERGY PVT LTD,power
AEC TRAILERS,vahan
AECOM,internet
AEGAN BATTERIES LTD,mca
AEGAN INDUSTRIES PVT LTD,mca
AEGIS GAS LPG PVT LTD,mca
AEGIS LOGISTICS LTD,mca
AEGIS LTD,mca
AEGON LIFE,internet
AEKAM AGRO,vahan
AEQUS PVT LTD,mca
AEQUS SEZ PVT LTD,mca
AERENS GOLDSOUK INTERNATIONAL LTD,mca
AEROFLEX INDUSTRIES LTD,mca
AEROSPACE PROCESSING INDIA PVT LTD,mca
AEROSTRUCTURES MANUFACTURING INDIA PVT LTD,mca
AES CHHATTISGARH ENERGY PVT LTD,mca
AES INDIA PVT LTD,mca
AFCONS INFRASTRUCTURE LTD,mca
AFFLE,infotech
AFN LANGRANA SHARE & STOCK BROKERS P,broking
AFREEN AGRO ENGG WORKS HUBLI,vahan
AFRICAN INDUSTRIES,internet
AFTEK LTD,mca
AFTEK MOTORS INDIA,vahan
AFZAL ENGG WORKS JUNAGARH,vahan
AGA PUBLICATIONS LTD,mca
AGARESAN BANK,bank
AGARTALA CO OP URBAN BANK LTD,payments_nach
AGARWAL RUBBER LTD,mca
AGARWAL TMT INDUSTRIES PVT LTD,mca
AGC NETWORKS LTD,mca
AGGARSAIN FIBRES LTD,mca
AGGARWAL BROTHERS,vahan
AGH ALTECH PVT LTD,mca
AGH WIRES PVT LTD,mca
AGILE ELECTRIC SUB ASSEMBLY PVT LTD,mca
AGILE FINSERV PRIVATE LIMITED,nbfc
AGILITY,internet
AGILITY LOGISTICS PVT LTD,mca
AGIO PAPER AND INDUSTRIES LTD,mca
AGL POLYFIL PVT LTD,mca
AGNEE IRON WORKS BARIPADA,vahan
AGP ENGINEERING PRODUCTS,vahan
AGR STEEL STRIPS PVT LTD,mca
AGRA DISTRICT CO OP BANK LTD,payments_nach
AGRA GWALIOR PATHWAYS PVT LTD,mca
AGRASEN BANK,bank
AGRASEN ENGINEERING WORKS,vahan
AGRAWAL RENEWABLE ENERGY,vahan
AGREETECH PUNE,vahan
AGREEYA SOLUTIONS,internet
AGRI AND IND MACHINERY SUPPLIER,vahan
AGRI EQUIPMENT,vahan
AGRI GOLD EXIMS LTD,mca
AGRI GOLD ORGANICS PVT LTD,mca
AGRI GOLD PROJECTS LTD,mca
AGRI IMPLEMENTS,vahan
AGRI KING,vahan
AGRI KING TRACTORS AND EQUIPMENTS,vahan
AGRI TECH ENGINEER,vahan
AGRIBIOTECH INDUSTRIES LTD,mca
AGRIFAB ENG SOLUTION,vahan
AGRO AUTO INDUSTRIES,vahan
AGRO DUTCH INDUSTRIES LTD,mca
AGRO INDUS CREDITS LTD,mca
AGRO INDUSTRIAL PACKAGING INDIA LTD,mca
AGRO INDUSTRIES,vahan
AGRO TECH FOODS LTD,mca
AGROH BIAORA TOLLWAYS PVT LTD,mca
AGROH INFRASTRUCTURE DEVELOPERS PVT LTD,mca
AGROH RATLAM TOLLWAYS PVT LTD,mca
AGROH REWA RING ROAD PVT LTD,mca
AGROH TOLL HIGHWAYS PVT LTD,mca
AGROHA CO OP URBAN BANK LTD,payments_nach
AGROLUX TRACTOR,vahan
AGROY FINANCE AND INVESTMENT,broking
AGS INFOTECH LTD,mca
AGS TRANSACT TECHNOLOGIES LTD,mca
AGSON GLOBAL PVT LTD,mca
AHA HOLDINGS PVT LTD,mca
AHALIA MONEY EXCHANGE AND FINANCIALSERVICES PVT LTD,mca
AHAMAD ENGINEERING WORKS,vahan
AHAMAD ENGINEERING WORKS KHAMMAM,vahan
AHAN APPAREL PVT LTD,mca
AHILYADEVI URBAN CO OP BANK LTD SOLAPUR,payments_nach
AHITESHAM AGRO ENGINEERING,vahan
AHLUWALIA CONTRACTS INDIA LTD,mca
AHMED MOTORS,vahan
AHMEDABAD DISTRICT COOPERATIVE BANK,bank
AHMEDABAD MALIYA TOLLWAY LTD,mca
AHMEDABAD MERC COOP BK,bank_test_only
AHMEDABAD MERC COOP BK,bank
AHMEDABAD MERCANTILE CO-OPBANK LTD,payments_nach
AHMEDABAD MERCANTILE COOP BANK,bank
AHMEDABAD MERCANTILE COOPERATIVE BANK,bank_test_only
AHMEDABAD MERCANTILE COOPERATIVE BANK,bank
AHMEDNAGAR DISTRICT CENTRAL CO,bank
AHMEDNAGAR DISTRICT CENTRAL COOPERATIVE BANK,bank
AHMEDNAGAR DISTRICT CENTRAL COOPERATIVE BANK,bank_test_only
AHMEDNAGAR DISTRICT CENTRAL COOPERATIVE BANK ; AHMEDNAGAR,bank
AHMEDNAGAR MERCHANTS COOP BANK,bank
AHMEDNAGAR MERCHANTS COOP BANK AHMEDNAGAR,bank
AHMEDNAGAR MERCHANTS COOP BANK AHMEDNAGAR,bank_test_only
AHMEDNAGAR SHAHAR SAHAKARI BANK,bank
AHMEDNAGAR SHAHAR SAHAKARI BANK MARYADIT,payments_nach
AHPC (GVK),power
AHUJA COTSPIN PVT LTD,mca
AI CHAMPDANY INDUSTRIES LTD,mca
AI SHRI KHODIYAR WELDING WORK,vahan
AIA ENGINEERING LTD,mca
AIC,general_insurance
AICA LAMINATES INDIA PVT LTD,mca
AIMIL PHARMACEUTICALSINDIA LTD,mca
AIMS FARM EQUIPMENTS,vahan
AIR CARNIVAL PVT LTD,mca
AIR INDIA EXPRESS LTD,mca
AIR INDIA LTD,mca
AIR INDIA SATS AIRPORT SERVICES PVT LTD,mca
AIR WORKS INDIA ENGINEERINGPVT LTD,mca
AIRAN FINSTOCKS,broking
AIRBUS GROUP INDIA PVT LTD,mca
AIREFF DETOX PVT LTD,mca
AIRMID DEVELOPERS LTD,mca
AIRTEL,internet
AIRTEL PAYMENTS BANK,bank_test_only
AIRTEL PAYMENTS BANK,bank
AIRTEL PAYMENTS BANK,bank_2
AIRTEL PAYMENTS BANK,payments_npci
AIRTEL PAYMENTS BANK APP,payments_upi_apps
AIRTEL PAYMENTS BANK LTD,payments_nach
AISHWARYA & CO.,broking
AISHWARYA AGRO SALES,vahan
AISHWARYA EARTH MOVERS,vahan
AISHWARYAM SPECIALITY HOSPITAL PVT LTD,mca
AISSHPRA LIFE SPACES PVT LTD,mca
AITKEN SPENCE HOTEL MANAGEMENTS SOUTHINDIA PVT LTD,mca
AIZANT DRUG RESEARCH SOLUTIONS PVT LTD,mca
AJACO ENGINEERING PRODUCTS,vahan
AJANTA AGRO,vahan
AJANTA KRUSHI YANTRA,vahan
AJANTA OFFSET AND PACKAGING LTD,mca
AJANTA PHARMA LTD,mca
AJANTA SHOES INDIA PVT LTD,mca
AJANTA SOYA LTD TRANSFER FROM DELHI TO RAJASTHAN,mca
AJANTHA URBAN CO OP BANK LTD,payments_nach
AJARA URBAN CO OP BANK AJARA,bank
AJARA URBAN COOP BANK,bank
AJARA URBAN COOP BANK,bank_test_only
AJARA URBAN COOP BANK AJARA,bank
AJAX ENGINEERING,vahan
AJAX FIORI ENGG INDIA,vahan
AJAX FIORI ENGINEERING,vahan
AJAY AGRO ENTERPRISES SBP,vahan
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO,vahan
AJAY ENGINEERING WORKS EQUIPMENTS SAMBALPUR,vahan
AJAY ENTERPRISES,vahan
AJAY METALLICS PVT LTD,mca
AJAY MOTORS,vahan
AJCON GLOBAL SERVICES,broking
AJE INDIA PVT LTD,mca
AJINKYA TRAILER AND FABRICATOR,vahan
AJIT AGRO INDUSTRIES,vahan
AJMER CENTRAL CO OP BANK LTD AJMER,payments_nach
AJMER VIDYUT VITRAN NIGAM LTD,mca
AJMERA ASSOCIATES,broking
AJMERA REALTY AND INFRA INDIA LTD,mca
AJS MOTORCYCLES,vahan
AKAMAI,internet
AKARSHA PRIME PROJECT PVT LTD,mca
AKARSHAK INFRASTRUCTURE PVT LTD,mca
AKASH AGRO INDUSTRIES,vahan
AKASH ENGG WORKS,vahan
AKASH EQUIPMENTS AND MACHINERIES (P),vahan
AKASH KRISHI YANTRA,vahan
AKASH TRAILOR,vahan
AKASHA SYNCOTEX PVT LTD,mca
AKASVA INFRASTRUCTURE PVT LTD,mca
AKAY NATURAL INGREDIENTS PVT LTD,mca
AKBAR TRAVELS OF INDIA PVT LTD,mca
AKC DEVELOPERS LTD,mca
AKCT CHIDAMBRAM COTTON MILL PVT LTD,mca
AKHAND ANAND CO OP BANK LTD,payments_nach
AKHAND ANAND COOP BANK SURAT,bank
AKHILAGYA SOLAR ENERGY PVT LTD,power
AKKI AGRO INDUSTRIES,vahan
AKMAAN MULTI MECH MACHINES,vahan
AKOLA DISTRICT CENTRAL COOP BANK,bank
AKOLA DISTRICT CENTRAL COOPERATIVE BANK,bank_test_only
AKOLA DISTRICT CENTRAL COOPERATIVE BANK,bank
AKOLA DISTRICT CENTRAL COOPERATIVE BANK AKOLA,bank
AKOLA JANATA COMMERCIAL COOP BANK,bank
AKOLA JANATA COMMERCIAL COOP BANK AKOLA,bank
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,bank
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,bank_test_only
AKOLA MERCHANT CO OP BANK LTD,payments_nach
AKOLA URBAN COOPERATIVE BANK,bank_test_only
AKOLA URBAN COOPERATIVE BANK,bank
AKOLA URBAN COOPERATIVE BANK AKOLA,bank
AKR CONSTRUCTION LTD,mca
AKR ENERGY PVT LTD,mca
AKRITI BAMRA,vahan
AKRITI GLOBAL TRADERS LTD,mca
AKSH OPTIFIBRE LTD,mca
AKSHAR AGRI TECH,vahan
AKSHAR AGRO INDUSTRIES,vahan
AKSHAR AGRO LNDUSTRIES,vahan
AKSHAR ENGNEERING WORKS,vahan
AKSHAR STEEL,vahan
AKSHATA MERCANTILE PVT LTD,mca
AKSHAY AGRO AGENCIES,vahan
AKSHAY INDUSTRIES,vahan
AKSHAYA PVT LTD,mca
AKSMD RECHARGEABLE VEHICLES,vahan
AKTIVORTHO PVT LTD,mca
AKUMS LIFESCIENCES LIMITED,mca
AKZO NOBEL INDIA LTD,mca
AL ARSH EXPORTS PVT LTD,mca
AL DUA FOOD PROCESSING PVT LTD,mca
AL KABEER EXPORTS PVT LTD,mca
AL NAFEES FROZEN FOOD EXPORTS PVT LTD,mca
AL SAMEER EXPORTS PVT LTD,mca
AL-KHADEER ENGINEERING WORKS,vahan
AL-ZAHOOR CO,vahan
ALACRITY SECURITIES LTD,mca
ALAFCO IRISH AIRCRAFT LEASING SIX LTD,mca
ALAGAR JEWELLERS PVT LTD,mca
ALAGENDRAN SPINNING MILLS PVT LTD,mca
ALAKNANDA HYDRO POWER CO LTD,mca
ALAM ENGINEERING WORKS,vahan
ALAM TRACTOR TRAILORS,vahan
ALANKIT ASSIGNMENTS,broking
ALANKIT ASSIGNMENTS LTD,mca
ALANKIT FINSEC LTD,mca
ALANKIT IMAGINATIONS,broking
ALAVI CO OP BANK LTD,payments_nach
ALAVI CO OPERATIVE BANK,bank
ALAWAR AUTO IND BABRA,vahan
ALBANY MOLECULAR RESEARCH HYDERABADRESEARCH CENTRE PVT LTD,mca
ALBEDO VISION,vahan
ALCASTE INDIA LTD,mca
ALCATEL LUCENT INDIA LTD,mca
ALCHEMIST ASSET RECONSTRUCTION CO LTD,mca
ALCHEMIST ASSET RECONSTRUCTION COMPANY LTD,mca
ALCHEMIST HOSPITALS LTD,mca
ALCHEMIST LTD,mca
ALCOCK ASHDOWN GUJARAT LTD,mca
ALDAN INVESTMENTS,broking
ALEMBIC LTD,mca
ALEMBIC PHARMACEUTICALS,internet
ALEMBIC PHARMACEUTICALS LTD,mca
ALENA VENTURES LTD,mca
ALERE MEDICAL PVT LTD,mca
ALEX ASTRAL POWER PVT LTD,power
ALEX GREEN ENERGY PVT LTD,mca
